,id_str,ra,dec,est_petro_th50
2951,489920_2503,151.08236778178608,28.76095774203347,1.5072386977550112
2952,492444_1550,151.1610708310082,29.19622748144146,2.5987039776328125
2953,492444_2687,151.20495683193394,29.254069416546788,3.020498289965172
2961,424135_1066,339.02593026104705,16.18290940386994,2.393535471806296
2988,493702_2300,151.50279016362512,29.48495454598496,2.1462573493227666
3014,496206_1739,151.04912568518387,29.981919177184427,6.4400950402889885
3060,496166_591,139.56481675589555,29.90393176810288,2.021161115862701
3064,468008_1726,153.79676421393836,24.470967271438607,2.446804880419169
3121,425496_2174,333.45571806761035,16.47207046817151,2.100839711601836
3127,425499_3093,334.389543277684,16.53068489953115,2.9371760270950817
3152,473248_830,156.71511531762414,25.428719663425234,2.887167764115654
