,id_str,ra,dec,est_petro_th50
80998,458250_977,16.948644171967207,22.67552501820544,1.6254548467951495
81410,538117_2500,229.3434839959964,38.796711753802605,2.9267804833564934
81483,540352_1593,226.94792238052057,39.235758166007344,1.7335455486875608
82820,579736_596,213.57322962549242,48.6660795436341,2.0391372336036038
83950,578728_119,193.21933421102565,48.38617701002774,2.3972038588218134
84092,580606_1298,183.0995439246484,48.97109267113197,1.5654357742225584
84299,569915_3626,189.80411914064112,46.37314893878853,2.101650331355071
84918,576556_1744,100.68160757858958,47.95007498981838,1.9656470836025968
85334,567674_2675,106.6700270030664,45.77929854674356,1.8641127730041465
85674,574662_227,119.51564310974867,47.38934730123139,1.9743710356440152
85883,557380_4180,112.96267919728368,43.36957797295291,1.7018240632672437
85966,455601_3284,21.549778054681337,22.2982295408057,2.421617999338076
87451,561692_3097,159.7448546420379,44.31675806674633,2.252122545222786
