,im_paths,id_str,ra,dec,petro_theta,est_petro_th50,petro_th50,petro_th90,gini,category,hec_path,m20
51,E:/GZ-DESI/images/major-dist\103121_1561-cutout.fits,103121_1561,32.83693287413335,-43.52015350597657,,2.2360880442160678,,,0.39728605380349546,major,/mmfs1/storage/users/oryan/galaxy-zoo-desi/major-cutouts/103121_1561-cutout.fits,-1.7291035396223688
52,E:/GZ-DESI/images/major-dist\103192_958-cutout.fits,103192_958,57.30021809448322,-43.551882457592995,,6.5028927847839695,,,0.5608138563290368,major,/mmfs1/storage/users/oryan/galaxy-zoo-desi/major-cutouts/103192_958-cutout.fits,-1.0607970196540337
53,E:/GZ-DESI/images/major-dist\103192_965-cutout.fits,103192_965,57.2954487190135,-43.55211288100079,,8.908984796140823,,,0.6347910624299178,major,/mmfs1/storage/users/oryan/galaxy-zoo-desi/major-cutouts/103192_965-cutout.fits,-1.0968432428318589
54,E:/GZ-DESI/images/major-dist\103192_968-cutout.fits,103192_968,57.30260148803409,-43.555746840087956,,3.5268336832788063,,,0.5065899915525083,major,/mmfs1/storage/users/oryan/galaxy-zoo-desi/major-cutouts/103192_968-cutout.fits,-1.9329895472028589
55,E:/GZ-DESI/images/major-dist\103199_3588-cutout.fits,103199_3588,59.616148448997,-43.41115239163194,,2.9736618882093344,,,0.4327562799266967,major,/mmfs1/storage/users/oryan/galaxy-zoo-desi/major-cutouts/103199_3588-cutout.fits,-1.7354626232711654
56,E:/GZ-DESI/images/major-dist\103305_1015-cutout.fits,103305_1015,95.8511352359732,-43.529539529094784,,2.8918637983170896,,,0.2811200045852858,major,/mmfs1/storage/users/oryan/galaxy-zoo-desi/major-cutouts/103305_1015-cutout.fits,-1.5443700470089523
57,E:/GZ-DESI/images/major-dist\103948_2885-cutout.fits,103948_2885,316.82418320654943,-43.52218037227743,,2.033256418752386,,,0.33711391279154196,major,/mmfs1/storage/users/oryan/galaxy-zoo-desi/major-cutouts/103948_2885-cutout.fits,-1.5078722028674953
58,E:/GZ-DESI/images/major-dist\104001_4208-cutout.fits,104001_4208,335.0454156882558,-43.46922849542931,,2.026541160850208,,,0.380195056627741,major,/mmfs1/storage/users/oryan/galaxy-zoo-desi/major-cutouts/104001_4208-cutout.fits,-1.6126827846703027
59,E:/GZ-DESI/images/major-dist\104002_6059-cutout.fits,104002_6059,335.3746747058078,-43.391378310036586,,7.608066188084352,,,0.4484436069645552,major,/mmfs1/storage/users/oryan/galaxy-zoo-desi/major-cutouts/104002_6059-cutout.fits,-0.6937871985915683
60,E:/GZ-DESI/images/major-dist\104002_6060-cutout.fits,104002_6060,335.380717741298,-43.39353090545034,,7.608066188084352,,,0.6803799529807845,major,/mmfs1/storage/users/oryan/galaxy-zoo-desi/major-cutouts/104002_6060-cutout.fits,-1.3837414955452936
